                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79919,                 1.3801,                 1.4114,                0.81493,                 0.4677,                0.55582,                0.40268,                0.98115,                0.95983,                 1.5133,               0.006634,               0.006634,               0.006634
                     37,                0.80717,                 1.3832,                 1.4174,                0.77372,                0.47361,                0.58123,                0.42303,                0.98457,                0.95781,                 1.5123,               0.006535,               0.006535,               0.006535
                     38,                0.79779,                 1.3632,                 1.4134,                 0.7733,                0.47989,                 0.5814,                0.41642,                0.99507,                0.97997,                 1.5269,               0.006436,               0.006436,               0.006436
                     39,                0.79558,                 1.3365,                 1.4103,                0.59332,                0.50819,                0.58268,                0.42586,                0.97295,                0.96601,                 1.5011,               0.006337,               0.006337,               0.006337
                     40,                0.79618,                 1.3429,                 1.4093,                0.63366,                0.55164,                0.59778,                0.44845,                0.98707,                0.94679,                 1.5224,               0.006238,               0.006238,               0.006238
                     41,                0.79479,                 1.3168,                 1.4059,                 0.7456,                 0.5231,                0.61616,                0.42577,                0.96847,                0.91824,                  1.496,               0.006139,               0.006139,               0.006139
                     42,                0.78689,                 1.3118,                 1.4047,                0.71002,                0.51548,                0.62538,                0.45508,                0.97518,                0.94941,                 1.4961,                0.00604,                0.00604,                0.00604
                     43,                0.79139,                 1.3177,                 1.4053,                0.81271,                0.44615,                0.56675,                0.41419,                 0.9905,                0.96032,                 1.5065,               0.005941,               0.005941,               0.005941
                     44,                0.78626,                 1.2958,                 1.4005,                0.76281,                 0.4486,                0.57161,                0.42798,                0.95839,                0.91789,                  1.466,               0.005842,               0.005842,               0.005842
                     45,                0.79144,                 1.2777,                 1.4013,                0.81346,                0.46121,                0.57949,                0.42472,                0.98265,                0.93653,                 1.4989,               0.005743,               0.005743,               0.005743
                     46,                0.78672,                 1.2786,                 1.4037,                0.67416,                0.50951,                0.61936,                0.46004,                0.94499,                0.91247,                 1.4595,               0.005644,               0.005644,               0.005644
                     47,                0.78053,                 1.2731,                 1.3996,                0.68538,                0.53617,                0.61349,                0.44852,                0.95514,                0.90874,                 1.4756,               0.005545,               0.005545,               0.005545
                     48,                 0.7777,                 1.2595,                 1.3944,                0.61939,                0.51124,                0.58268,                 0.4281,                0.96068,                 0.9022,                 1.4775,               0.005446,               0.005446,               0.005446
